,0,183_Friday,183_Monday,183_Saturday,183_Sunday,183_Thursday,183_Tuesday,183_Wednesday,35_Friday,35_Monday,35_Saturday,35_Sunday,35_Thursday,35_Tuesday,35_Wednesday,lamar_Friday,lamar_Monday,lamar_Saturday,lamar_Sunday,lamar_Thursday,lamar_Tuesday,lamar_Wednesday,burnet_Friday,burnet_Monday,burnet_Saturday,burnet_Sunday,burnet_Thursday,burnet_Tuesday,burnet_Wednesday,2222_Friday,2222_Monday,2222_Saturday,2222_Sunday,2222_Thursday,2222_Tuesday,2222_Wednesday
0,0,0.95,0.91,1.93,2.61,0.89,0.88,0.85,0.93,1.14,1.62,1.86,0.89,0.77,0.81,1.19,0.89,2.12,2.64,0.9,0.78,0.82,0.89,0.82,1.82,2.47,0.74,0.72,0.78,0.5,0.46,1.04,1.78,0.39,0.34,0.37
1,1,0.68,0.58,1.32,1.73,0.57,0.56,0.51,0.69,0.62,1.14,1.49,0.54,0.52,0.69,0.76,0.52,1.62,2.0,0.53,0.43,0.47,0.62,0.4,1.25,1.57,0.44,0.47,0.41,0.29,0.27,0.69,1.0,0.22,0.24,0.25
2,2,0.7,0.42,1.26,1.34,0.55,0.54,0.52,0.54,0.55,1.12,1.02,0.41,0.37,0.6,0.64,0.44,1.33,1.65,0.41,0.36,0.4,0.49,0.29,1.04,1.23,0.34,0.36,0.33,0.21,0.17,0.55,0.66,0.16,0.15,0.15
3,3,0.45,0.39,0.85,0.94,0.39,0.37,0.32,0.61,0.44,0.8,0.86,0.48,0.43,0.55,0.38,0.3,0.69,0.98,0.32,0.28,0.33,0.38,0.26,0.56,0.66,0.27,0.25,0.31,0.17,0.18,0.33,0.51,0.14,0.12,0.13
4,4,0.46,0.44,0.41,0.51,0.42,0.48,0.4,0.82,0.66,0.64,0.55,0.49,0.48,0.67,0.28,0.26,0.37,0.43,0.22,0.22,0.27,0.38,0.27,0.34,0.41,0.35,0.28,0.31,0.18,0.2,0.2,0.3,0.17,0.16,0.16
5,5,1.21,1.21,0.89,0.79,1.33,1.1,1.2,2.12,1.88,1.17,0.56,1.91,2.16,2.27,0.72,0.63,0.53,0.45,0.65,0.63,0.67,0.97,0.97,0.65,0.53,1.02,0.91,0.97,0.51,0.54,0.35,0.34,0.53,0.5,0.54
6,6,3.84,4.06,2.18,1.6,4.16,4.09,4.2,6.75,7.03,3.66,1.15,7.44,7.3,6.99,2.73,2.94,1.48,0.97,2.89,2.83,2.94,3.02,3.18,1.59,1.32,3.35,3.29,3.34,3.2,3.29,1.17,0.96,3.54,3.5,3.53
7,7,5.74,5.9,3.43,2.58,6.01,6.06,6.03,8.82,9.53,3.85,2.47,9.18,9.19,8.94,5.47,5.96,2.31,1.66,5.74,5.9,5.78,6.31,6.48,2.56,2.4,6.57,6.64,6.48,7.57,7.93,2.53,1.93,7.94,7.94,8.15
8,8,6.35,6.73,4.77,3.16,6.66,7.04,7.08,8.57,9.91,4.14,2.93,10.07,9.62,10.46,6.1,7.07,3.45,2.72,6.73,6.72,6.71,6.82,7.26,4.17,2.98,7.23,7.46,7.46,8.17,8.79,4.38,3.54,8.49,8.65,8.85
9,9,5.75,6.1,5.56,4.56,6.23,6.14,6.16,7.12,7.8,5.06,3.97,7.47,8.05,8.11,5.45,6.03,4.67,3.93,5.86,5.98,5.92,5.88,6.25,5.4,4.46,6.24,6.41,6.33,6.89,7.53,5.64,5.05,7.37,7.58,7.45
10,10,5.35,5.4,6.1,5.59,5.29,5.27,5.26,5.28,5.81,6.0,5.0,6.12,5.73,5.75,5.05,5.21,5.82,5.32,4.98,5.24,5.09,5.75,5.87,6.26,5.66,5.63,5.79,5.5,5.58,5.93,6.82,6.8,5.71,5.78,5.79
11,11,5.71,5.86,6.3,6.49,5.48,5.57,5.63,5.65,5.7,7.01,7.38,5.51,5.77,5.68,5.54,5.92,6.6,6.46,5.42,5.79,5.63,5.98,6.67,7.07,6.49,6.14,6.39,6.27,5.93,5.9,7.15,8.08,5.95,5.92,5.72
12,12,5.86,5.95,6.69,7.29,5.82,5.93,5.86,5.77,6.23,7.37,7.49,6.38,6.65,6.33,6.1,6.22,7.2,7.59,6.02,6.23,5.93,6.46,6.61,7.31,7.92,6.37,6.38,6.31,6.54,5.96,7.61,8.6,5.89,5.96,5.72
13,13,6.19,6.09,6.78,7.77,6.02,6.15,5.7,6.26,6.46,6.91,8.15,6.26,6.62,6.13,6.22,6.24,7.35,7.82,6.07,6.24,5.94,6.79,6.49,7.4,8.22,6.26,6.56,6.37,6.47,5.84,7.26,8.27,5.8,5.88,5.59
14,14,6.2,6.19,6.82,7.46,6.1,6.23,6.06,5.26,5.1,6.67,7.73,4.61,5.07,4.9,6.52,6.36,7.14,7.68,6.2,6.28,6.15,6.76,6.43,7.47,7.9,6.35,6.36,6.46,6.41,6.07,7.15,7.98,5.97,6.13,5.81
15,15,6.32,6.41,6.65,7.15,5.99,6.37,6.27,4.88,5.08,6.17,7.23,4.4,4.73,4.44,7.26,7.03,7.0,7.48,6.95,7.07,6.98,6.73,6.45,7.47,7.67,6.48,6.58,6.81,6.96,6.67,7.38,7.7,6.78,6.74,6.75
16,16,7.5,7.34,6.54,7.08,7.2,7.36,7.27,5.21,4.9,5.98,7.31,5.05,5.06,5.08,7.55,8.03,6.55,7.05,7.67,7.8,7.9,7.3,7.44,6.99,7.51,7.37,7.33,7.43,7.59,7.88,7.25,7.68,7.8,7.93,7.86
17,17,7.48,8.22,6.1,6.56,7.97,7.84,8.1,4.9,4.64,5.72,6.86,4.5,4.44,4.35,7.03,7.65,6.18,6.82,7.34,7.37,7.21,6.95,7.52,6.13,6.77,7.16,7.21,7.26,7.71,8.87,7.07,7.09,8.48,8.69,8.56
18,18,6.2,6.86,5.78,6.24,6.63,6.79,6.83,4.45,4.56,5.86,6.04,4.58,4.04,4.07,6.13,6.76,5.99,6.68,6.94,7.14,7.09,5.66,6.39,5.68,6.08,6.3,6.41,6.39,6.13,6.94,6.89,6.59,6.95,6.86,7.11
19,19,4.8,4.84,5.0,5.59,4.96,4.91,4.9,4.02,3.45,4.85,5.6,3.93,3.44,3.45,5.03,4.8,5.47,5.64,5.34,5.08,5.33,4.48,4.47,5.06,5.32,4.55,4.39,4.45,4.27,4.19,5.29,5.0,4.25,4.29,4.41
20,20,3.91,3.82,4.55,4.46,3.99,3.82,4.02,3.41,3.02,4.4,4.64,3.43,3.19,3.13,4.22,3.76,4.76,4.67,4.13,4.06,4.07,3.72,3.4,4.34,4.19,3.85,3.59,3.73,2.86,2.66,4.1,3.88,3.03,2.81,2.85
21,21,3.51,3.01,4.05,3.85,3.39,3.02,3.29,3.3,2.44,3.87,4.16,2.99,3.0,2.97,3.79,3.25,4.39,4.04,3.88,3.5,3.75,3.18,2.82,3.89,3.63,3.12,2.92,2.93,2.59,1.99,3.72,3.02,2.19,2.06,2.16
22,22,2.82,2.0,3.32,2.76,2.37,2.08,2.15,2.66,1.7,3.21,3.01,1.78,2.04,1.99,3.31,2.35,3.87,3.25,2.96,2.56,3.01,2.53,1.96,3.06,2.77,2.3,1.97,2.03,2.01,1.12,3.18,2.12,1.4,1.19,1.36
23,23,2.0,1.26,2.74,1.91,1.6,1.37,1.38,1.97,1.37,2.76,2.54,1.56,1.34,1.66,2.51,1.41,3.1,2.08,1.85,1.53,1.62,1.96,1.3,2.49,1.86,1.56,1.34,1.34,1.27,0.63,2.26,1.14,0.86,0.59,0.73
